Player,College,Year,Pick,Rnd,DrAge,AP1,PB,St,wAV,G,GS,Rk,Age,AV,Height,Wt,X40YD,Vertical,BenchReps,Broad.Jump,X3Cone,Shuttle,CareerLength,SEC,BIG10,BIG12,PAC12,ACC,Pos,Position,Team,From,To,AA,QB,Skill,OL,DL,LB,DB,K
Eric Downing,Syracuse,2001,75,3,22,0,0,1,7,45,13,170,22,7,6.3,302,5.23,NA,27,NA,NA,NA,4,0,0,0,0,1,DT,9,KAN,2001,2004,0,0,0,0,1,0,0,0
Eric Kelly,Kentucky,2001,69,3,24,0,0,2,9,48,23,114,24,9,5.1,199,4.46,36,15,120,7.24,4.18,3,1,0,0,0,0,DB,12,MIN,2001,2003,0,0,0,0,0,0,1,0
Eric Westmoreland,Tennessee,2001,73,3,24,0,0,0,5,44,4,15,23,5,6.1,236,4.63,36.5,21,115,7.47,4.21,4,1,0,0,0,0,LB,11,JAX,2001,2004,0,0,0,0,0,1,0,0
Fred Smoot,Mississippi St.,2001,45,2,22,0,0,7,40,129,104,41,21,48,5.11,172,4.48,NA,NA,NA,NA,NA,9,1,0,0,0,0,DB,12,WAS,2001,2009,0,0,0,0,0,0,1,0
Freddie Mitchell,UCLA,2001,25,1,22,0,0,1,13,63,17,89,22,14,5.11,185,4.46,39.5,NA,120,6.95,4.06,4,0,0,0,1,0,WR,3,PHI,2001,2004,0,0,1,0,0,0,0,0
George Layne,TCU,2001,108,4,22,0,0,0,0,11,0,110,22,0,5.11,242,4.59,32,NA,115,7.08,4.19,4,0,0,1,0,0,RB,2,KAN,2001,2004,0,0,1,0,0,0,0,0
Gerard Warren,Florida,2001,3,1,23,0,0,9,49,163,137,18,22,61,6.4,325,5,NA,NA,NA,NA,NA,11,1,0,0,0,0,DT,9,CLE,2001,2011,0,0,0,0,1,0,0,0
Heath Evans,Auburn,2001,82,3,22,0,0,0,8,143,23,166,22,9,6.1,246,4.56,34.5,30,111,7.3,4.24,10,1,0,0,0,0,FB,5,SEA,2001,2010,0,0,0,0,0,0,0,0
Jabari Holloway,Notre Dame,2001,119,4,22,0,0,2,1,26,16,134,22,1,6.2,253,4.91,38.5,20,113,7.14,4.4,2,0,0,0,0,0,TE,4,NWE,2002,2003,0,0,1,0,0,0,0,0
Jamal Reynolds,Florida St.,2001,10,1,22,0,0,0,3,18,0,62,22,3,6.3,267,4.72,NA,NA,NA,NA,NA,3,0,0,0,0,1,DE,10,GNB,2001,2003,0,0,0,0,1,0,0,0
Jamar Fletcher,Wisconsin,2001,26,1,22,0,0,0,9,105,12,162,21,11,5.9,180,4.48,NA,NA,NA,NA,NA,8,0,1,0,0,0,DB,12,MIA,2001,2008,0,0,0,0,0,0,1,0
Jameel Cook,Illinois,2001,174,6,22,0,0,2,4,109,24,182,22,4,5.1,226,4.8,29.5,17,108,7.55,4.38,8,0,1,0,0,0,FB,5,TAM,2001,2008,0,0,0,0,0,0,0,0
James Jackson,Miami (FL),2001,65,3,25,0,0,1,9,52,16,127,24,9,5.1,210,4.55,NA,NA,NA,NA,NA,5,0,0,0,0,1,RB,2,CLE,2001,2005,0,0,1,0,0,0,0,0
Jamie Henderson,Georgia,2001,101,4,22,0,0,0,3,32,1,141,22,3,6.1,202,4.48,40.5,10,125,6.9,4.12,3,1,0,0,0,0,DB,12,NYJ,2001,2003,0,0,0,0,0,0,1,0
Jamie Winborn,Vanderbilt,2001,47,2,22,0,0,2,18,100,35,5,21,21,5.11,229,4.63,35.5,NA,111,NA,NA,10,1,0,0,0,0,LB,11,SFO,2001,2010,0,0,0,0,0,1,0,0
Jarrod Cooper,Kansas St.,2001,143,5,23,0,0,1,7,87,10,180,22,8,6.1,222,4.45,41.5,NA,130,6.87,3.9,7,0,0,1,0,0,DB,12,CAR,2001,2007,0,0,0,0,0,0,1,0
Jason Doering,Wisconsin,2001,193,6,23,0,0,0,6,53,7,172,22,6,5.11,202,4.73,NA,NA,NA,7.07,4.12,4,0,1,0,0,0,DB,12,IND,2001,2004,0,0,0,0,0,0,1,0
Jason Glenn,Texas A&M,2001,173,6,22,0,0,0,6,80,1,154,21,7,6.1,236,4.94,36,14,115,7.16,4.31,6,1,0,0,0,0,LB,11,DET,2001,2006,0,0,0,0,0,1,0,0
Jerametrius Butler,Kansas St.,2001,145,5,22,0,0,2,17,70,32,194,22,18,5.1,173,4.57,36,11,121,7.22,4.4,7,0,0,1,0,0,DB,12,STL,2001,2007,0,0,0,0,0,0,1,0
Jesse Palmer,Florida,2001,125,4,22,0,0,0,1,8,3,73,22,1,6.2,231,4.78,35.5,NA,112,7.13,4.29,2,1,0,0,0,0,QB,1,NYG,2002,2003,0,1,0,0,0,0,0,0
John Howell,Colorado St.,2001,117,4,23,0,0,0,7,65,8,131,22,7,6.1,204,4.64,37,14,121,6.87,4.12,6,0,0,0,0,0,DB,12,TAM,2001,2006,0,0,0,0,0,0,1,0
Justin McCareins,Northern Illinois,2001,124,4,22,0,0,5,33,114,67,99,22,37,6.2,209,4.51,41,NA,129,7.06,3.99,8,0,0,0,0,0,WR,3,TEN,2001,2008,0,0,1,0,0,0,0,0
Justin Smith,Missouri,2001,4,1,21,1,5,14,101,221,217,45,21,136,6.4,267,4.64,34,26,117,NA,NA,14,1,0,0,0,0,DE,10,CIN,2001,2014,0,0,0,0,1,0,0,0
Kareem McKenzie,Penn St.,2001,79,3,22,0,0,10,62,161,153,96,21,80,6.6,328,5.33,33,20,104,7.87,4.8,11,0,1,0,0,0,T,8,NYJ,2001,2011,0,0,0,1,0,0,0,0
Karon Riley,Minnesota,2001,103,4,23,0,0,0,1,25,0,61,22,1,6.2,264,4.75,NA,NA,NA,NA,NA,4,0,1,0,0,0,LB,11,CHI,2001,2004,0,0,0,0,0,1,0,0
Ken Lucas,Mississippi,2001,40,2,22,0,0,7,46,138,112,104,22,54,6.1,200,4.45,NA,NA,NA,NA,NA,9,1,0,0,0,0,DB,12,SEA,2001,2009,0,0,0,0,0,0,1,0
Kenny Smith,Alabama,2001,81,3,23,0,0,1,7,36,10,44,23,7,6.3,299,5.24,30,NA,100,8,4.8,9,1,0,0,0,0,DT,9,NOR,2001,2009,0,0,0,0,1,0,0,0
Kenyatta Jones,South Florida,2001,96,4,22,0,0,1,7,21,13,119,22,7,6.3,308,5.01,NA,31,NA,NA,NA,4,0,0,0,0,0,T,8,NWE,2001,2004,0,0,0,1,0,0,0,0
Kenyatta Walker,Florida,2001,14,1,22,0,0,5,29,75,73,20,22,32,6.5,311,5.17,31.5,24,109,7.7,4.6,6,1,0,0,0,0,T,8,TAM,2001,2006,0,0,0,1,0,0,0,0
Ken-Yon Rambo,Ohio St.,2001,229,7,22,0,0,0,1,29,0,63,22,1,6.1,196,4.34,NA,NA,NA,NA,NA,2,0,1,0,0,0,WR,3,OAK,2001,2002,0,0,1,0,0,0,0,0
Kevin Kasper,Iowa,2001,190,6,23,0,0,0,2,39,9,116,23,2,6.1,199,4.42,43.5,NA,126,6.56,3.73,6,0,1,0,0,0,WR,3,DEN,2001,2006,0,0,1,0,0,0,0,0
Koren Robinson,North Carolina St.,2001,9,1,21,0,1,4,35,96,70,56,20,39,6.1,211,4.61,NA,NA,NA,NA,NA,8,0,0,0,0,0,WR,3,SEA,2001,2008,0,0,1,0,0,0,0,0
Kris Jenkins,Maryland,2001,44,2,22,2,4,6,68,108,102,124,21,76,6.5,318,5.19,31,33,108,7.85,4.4,10,0,1,0,0,0,DT,9,CAR,2001,2010,0,0,0,0,1,0,0,0
Kyle Vanden Bosch,Nebraska,2001,34,2,22,0,3,9,58,152,137,24,22,71,6.4,270,4.75,36.5,26,119,6.82,4.08,12,0,1,0,0,0,DE,10,ARI,2001,2012,0,0,0,0,1,0,0,0
Kynan Forney,Hawaii,2001,219,7,22,0,0,5,37,98,89,161,22,42,6.2,312,5.28,27,23,97,8.56,4.7,9,0,0,0,0,0,G,7,ATL,2001,2009,0,0,0,1,0,0,0,0
Leonard Davis,Texas,2001,2,1,23,0,3,10,66,171,155,177,22,81,6.6,370,5.32,28,33,97,8.72,5.18,12,0,0,1,0,0,T,8,ARI,2001,2012,0,0,0,1,0,0,0,0
Louis Williams,LSU,2001,211,7,22,0,0,0,0,2,0,9,21,0,6.4,299,5.48,28.5,25,103,7.86,4.67,1,1,0,0,0,0,C,6,CAR,2002,2002,0,0,0,1,0,0,0,0
Marcus Stroud,Georgia,2001,13,1,23,0,3,9,67,146,129,34,22,80,6.6,321,5.13,30,21,110,8.07,4.72,10,1,0,0,0,0,DT,9,JAX,2001,2010,0,0,0,0,1,0,0,0
Mario Fatafehi,Kansas St.,2001,133,5,22,0,0,2,13,45,26,165,22,13,6.2,295,5.29,NA,NA,NA,NA,NA,4,0,0,1,0,0,DT,9,ARI,2001,2004,0,0,0,0,1,0,0,0
Mario Monds,Cincinnati,2001,186,6,24,0,0,0,1,7,0,88,24,1,6.3,342,5.04,28.5,NA,99,8.06,4.73,4,0,0,0,0,0,DT,9,WAS,2001,2004,0,0,0,0,1,0,0,0
Markus Steele,USC,2001,122,4,22,0,0,1,8,42,11,39,21,8,6.3,232,4.62,33,NA,119,7.15,4.5,3,0,0,0,1,0,LB,11,DAL,2001,2003,0,0,0,0,0,1,0,0
Marques Sullivan,Illinois,2001,144,5,23,0,0,1,11,32,22,32,23,11,6.5,338,5.32,30.5,28,98,8.36,4.8,3,0,1,0,0,0,G,7,BUF,2001,2003,0,0,0,1,0,0,0,0
Marques Tuiasosopo,Washington,2001,59,2,22,0,0,0,1,13,2,26,21,1,6.1,223,4.71,35.5,NA,115,7.36,4.35,8,0,0,0,1,0,QB,1,OAK,2001,2008,0,1,0,0,0,0,0,0
Mathias Nkwenti,Temple,2001,111,4,23,0,0,0,0,2,0,79,22,0,6.3,293,5.57,35.5,29,113,7.66,4.18,3,0,0,0,0,0,T,8,PIT,2001,2003,0,0,0,1,0,0,0,0
Matt Lehr,Virginia Tech,2001,137,5,22,0,0,3,23,98,51,109,21,25,6.2,290,5.28,31.5,28,111,7.59,4.44,8,0,0,0,0,1,C,6,DAL,2001,2008,0,0,0,1,0,0,0,0
Matt Light,Purdue,2001,48,2,23,1,3,10,89,155,153,105,22,109,6.5,311,5.29,NA,26,NA,7.84,4.49,11,0,1,0,0,0,T,8,NWE,2001,2011,0,0,0,1,0,0,0,0
Maurice Williams,Michigan,2001,43,2,22,0,0,6,47,105,100,7,22,54,6.5,304,5.2,NA,24,NA,NA,NA,9,0,1,0,0,0,T,8,JAX,2001,2009,0,0,0,1,0,0,0,0
Michael Jameson,Texas A&M,2001,165,6,22,0,0,0,4,42,1,125,21,4,5.11,186,4.5,34.5,9,118,7.13,4.2,3,1,0,0,0,0,DB,12,CLE,2002,2004,0,0,0,0,0,0,1,0
Michael Stone,Memphis,2001,54,2,23,0,0,0,4,52,3,35,23,4,5.11,191,4.51,41,17,127,NA,NA,6,0,0,0,0,0,DB,12,ARI,2001,2006,0,0,0,0,0,0,1,0
Michael Vick,Virginia Tech,2001,1,1,21,0,4,7,92,143,115,23,20,112,6.1,210,4.33,NA,NA,NA,NA,NA,15,0,0,0,0,1,QB,1,ATL,2001,2015,0,1,0,0,0,0,0,0
Mike Gandy,Notre Dame,2001,68,3,22,0,0,7,42,108,106,159,22,48,6.4,305,5.2,30.5,NA,103,8.03,4.71,8,0,0,0,0,0,T,8,CHI,2002,2009,0,0,0,1,0,0,0,0
Mike McMahon,Rutgers,2001,149,5,22,0,0,0,6,29,14,95,22,6,6.2,207,4.57,37.5,NA,124,7.12,4.12,5,0,1,0,0,0,QB,1,DET,2001,2005,0,1,0,0,0,0,0,0
Mike Roberg,Idaho,2001,227,7,23,0,0,0,0,13,1,57,23,0,6.4,256,4.75,34.5,16,117,7.28,4.4,2,0,0,0,0,0,TE,4,CAR,2001,2002,0,0,1,0,0,0,0,0
Moran Norris,Kansas,2001,115,4,23,0,0,4,1,140,58,77,22,1,6.1,250,4.63,31,37,114,7.56,4.5,11,0,0,1,0,0,FB,5,NOR,2001,2011,0,0,0,0,0,0,0,0
Morlon Greenwood,Syracuse,2001,88,3,23,0,0,8,39,125,108,152,22,46,6.1,237,4.69,33.5,21,112,7.62,4.08,8,0,0,0,0,1,LB,11,MIA,2001,2008,0,0,0,0,0,1,0,0
Nate Clements,Ohio St.,2001,21,1,21,0,1,11,61,180,168,186,21,78,5.11,209,4.38,NA,NA,NA,NA,NA,12,0,1,0,0,0,DB,12,BUF,2001,2012,0,0,0,0,0,0,1,0
Nick Harris,California,2001,120,4,23,0,0,0,18,183,0,146,22,23,6.2,221,NA,NA,NA,NA,NA,NA,12,0,0,0,1,0,K,13,DEN,2001,2012,0,0,0,0,0,0,0,1
Orlando Huff,Fresno St.,2001,104,4,23,0,0,3,22,87,48,130,22,24,6.2,245,4.7,NA,16,NA,NA,NA,6,0,0,0,0,0,LB,11,SEA,2001,2006,0,0,0,0,0,1,0,0
Owen Pochman,BYU,2001,216,7,24,0,0,0,-2,16,0,70,23,-2,5.11,179,NA,NA,NA,NA,NA,NA,3,0,0,0,0,0,K,13,NWE,2001,2003,0,0,0,0,0,0,0,1
Patrick Chukwurah,Wyoming,2001,157,5,22,0,0,0,6,78,5,188,22,7,6.2,238,4.77,40,24,119,7.34,4.21,7,0,0,0,0,0,LB,11,MIN,2001,2007,0,0,0,0,0,1,0,0
Paul Zukauskas,Boston Col.,2001,203,7,22,0,0,1,9,43,18,1,21,9,6.5,307,5.3,NA,22,NA,NA,NA,4,0,0,0,0,0,G,7,CLE,2001,2004,0,0,0,1,0,0,0,0
Quincy Carter,Georgia,2001,53,2,23,0,0,2,16,38,34,191,23,17,6.2,225,4.58,35.5,NA,113,7.12,4.12,4,1,0,0,0,0,QB,1,DAL,2001,2004,0,1,0,0,0,0,0,0
