Player,College,Year,Pick,Rnd,DrAge,AP1,PB,St,wAV,G,GS,Rk,Age,AV,Height,Wt,X40YD,Vertical,BenchReps,Broad.Jump,X3Cone,Shuttle,CareerLength,SEC,BIG10,BIG12,PAC12,ACC,Pos,Position,Team,From,To,AA,QB,Skill,OL,DL,LB,DB,K
Walter Thurmond,Oregon,2010,111,4,23,0,0,1,12,52,25,38,22,12,5.11,189,4.53,NA,NA,NA,NA,NA,6,0,0,0,1,0,DB,12,SEA,2010,2015,0,0,0,0,0,0,1,0
Willie Young,North Carolina St.,2010,213,7,24,0,0,2,22,98,45,1,24,24,6.5,251,4.88,38,25,118,7.24,4.56,8,0,0,0,0,0,DE,10,DET,2010,2017,0,0,0,0,1,0,0,0
Zoltan Mesko,Michigan,2010,150,5,24,0,0,0,6,56,0,107,23,6,6.4,240,4.79,NA,16,NA,NA,NA,4,0,1,0,0,0,K,13,NWE,2010,2013,0,0,0,0,0,0,0,1
A.J. Green,Georgia,2011,4,1,23,0,7,9,76,143,134,180,22,93,6.4,211,4.48,34.5,18,126,6.91,4.21,11,1,0,0,0,0,WR,3,CIN,2011,2021,0,0,1,0,0,0,0,0
Aaron Williams,Texas,2011,34,2,21,0,0,4,17,59,52,13,20,18,6.1,204,4.55,37.5,18,127,6.72,4.07,6,0,0,1,0,0,DB,12,BUF,2011,2016,0,0,0,0,0,0,1,0
Akeem Dent,Georgia,2011,91,3,23,0,0,2,17,90,32,200,23,18,6.1,242,4.73,37.5,24,123,NA,NA,6,1,0,0,0,0,LB,11,ATL,2011,2016,0,0,0,0,0,1,0,0
Aldon Smith,Missouri,2011,7,1,21,1,1,4,34,75,53,43,21,37,6.4,263,4.74,34,20,118,7.19,4.5,10,1,0,0,0,0,DE,10,SFO,2011,2020,0,0,0,0,1,0,0,0
Aldrick Robinson,SMU,2011,178,6,22,0,0,0,12,84,5,71,22,13,5.1,184,4.35,40,17,126,6.65,4.09,7,0,0,0,0,0,WR,3,WAS,2012,2018,0,0,1,0,0,0,0,0
Alex Green,Hawaii,2011,96,3,23,0,0,0,5,29,4,179,22,5,6.1,225,4.45,34,20,114,6.91,4.15,3,0,0,0,0,0,RB,2,GNB,2011,2013,0,0,1,0,0,0,0,0
Alex Henery,Nebraska,2011,120,4,24,0,0,0,8,50,0,167,23,8,6.1,177,4.87,NA,NA,NA,NA,NA,4,0,1,0,0,0,K,13,PHI,2011,2014,0,0,0,0,0,0,0,1
Anthony Sherman,Connecticut,2011,136,5,22,0,1,3,5,153,35,50,22,5,5.1,242,4.74,32.5,32,111,7.23,4.41,10,0,0,0,0,0,RB,2,ARI,2011,2020,0,0,1,0,0,0,0,0
Austin Pettis,Boise St.,2011,78,3,23,0,0,0,8,51,11,86,22,8,6.3,209,4.56,33.5,14,120,6.68,3.88,4,0,0,0,0,0,WR,3,STL,2011,2014,0,0,1,0,0,0,0,0
Ben Ijalana,Villanova,2011,49,2,22,0,0,1,6,34,13,149,21,6,6.4,317,5.2,NA,NA,NA,NA,NA,7,0,0,0,0,0,T,8,IND,2011,2017,0,0,0,1,0,0,0,0
Bilal Powell,Louisville,2011,126,4,22,0,0,3,26,109,38,80,22,30,5.1,207,4.51,NA,18,NA,NA,NA,9,0,0,0,0,1,RB,2,NYJ,2011,2019,0,0,1,0,0,0,0,0
Blaine Gabbert,Missouri,2011,10,1,21,0,0,2,16,66,48,185,21,18,6.4,234,4.61,33.5,NA,120,6.84,4.26,11,1,0,0,0,0,QB,1,JAX,2011,2021,0,1,0,0,0,0,0,0
Brandon Fusco,Slippery Rock,2011,172,6,23,0,0,6,35,90,87,186,22,40,6.4,306,5.18,28.5,26,108,7.29,4.43,8,0,0,0,0,0,C,6,MIN,2011,2018,0,0,0,1,0,0,0,0
Brandon Harris,Miami (FL),2011,60,2,21,0,0,0,3,42,0,171,21,3,5.9,191,4.46,35.5,13,113,6.77,4.12,4,0,0,0,0,1,DB,12,HOU,2011,2014,0,0,0,0,0,0,1,0
Brandon Hogan,West Virginia,2011,98,4,23,0,0,0,0,3,0,160,22,0,5.1,192,4.43,NA,19,NA,NA,NA,1,0,0,1,0,0,DB,12,CAR,2011,2011,0,0,0,0,0,0,1,0
Brandyn Thompson,Boise St.,2011,213,7,21,0,0,0,1,6,0,31,21,1,5.9,189,4.5,33.5,13,114,6.66,4.12,1,0,0,0,0,0,DB,12,WAS,2011,2011,0,0,0,0,0,0,1,0
Brian Rolle,Ohio St.,2011,193,6,22,0,0,1,6,20,13,68,22,6,5.1,229,4.53,33,28,115,6.89,4.26,2,0,1,0,0,0,LB,11,PHI,2011,2012,0,0,0,0,0,1,0,0
Brooks Reed,Arizona,2011,42,2,24,0,0,6,37,131,87,76,24,43,6.2,263,4.65,30.5,30,113,7.11,4.28,10,0,0,0,1,0,LB,11,HOU,2011,2020,0,0,0,0,0,1,0,0
Bruce Miller,Central Florida,2011,211,7,24,0,0,5,7,85,52,107,23,7,6.1,254,4.81,31,35,113,7.05,4.34,10,0,0,0,0,0,DE,10,SFO,2011,2020,0,0,0,0,1,0,0,0
Buster Skrine,Chattanooga,2011,137,5,22,0,0,4,34,158,95,44,21,41,5.9,186,4.37,37,20,122,6.44,3.9,11,0,0,0,0,0,DB,12,CLE,2011,2021,0,0,0,0,0,0,1,0
Byron Maxwell,Clemson,2011,173,6,23,0,0,3,22,83,52,112,23,25,6.1,202,4.43,33,24,124,NA,NA,7,0,0,0,0,1,DB,12,SEA,2011,2017,0,0,0,0,0,0,1,0
Caleb Schlauderaff,Southern Utah,2011,179,6,23,0,0,0,1,12,1,55,23,1,6.4,305,5.18,NA,NA,NA,NA,NA,3,0,0,0,0,0,G,7,GNB,2011,2013,0,0,0,1,0,0,0,0
Cam Newton,Auburn,2011,1,1,22,1,3,9,115,148,144,94,21,140,6.5,248,4.56,35,NA,126,6.92,4.18,11,1,0,0,0,0,QB,1,CAR,2011,2021,1,1,0,0,0,0,0,0
Cameron Heyward,Ohio St.,2011,31,1,22,3,5,9,89,166,131,163,21,106,6.5,294,4.95,30,NA,NA,NA,NA,11,0,1,0,0,0,DE,10,PIT,2011,2021,0,0,0,0,1,0,0,0
Cameron Jordan,California,2011,24,1,22,1,7,11,92,176,175,138,21,116,6.4,287,4.74,31,25,117,7.07,4.37,11,0,0,0,1,0,DE,10,NOR,2011,2021,0,0,0,0,1,0,0,0
Casey Matthews,Oregon,2011,116,4,22,0,0,1,10,64,15,114,22,10,6.1,231,4.78,NA,13,NA,NA,NA,4,0,0,0,1,0,LB,11,PHI,2011,2014,0,0,0,0,0,1,0,0
Cecil Shorts,Mount Union,2011,114,4,23,0,0,4,19,70,43,47,23,20,6.1,205,4.5,34.5,21,114,6.5,4.07,6,0,0,0,0,0,WR,3,JAX,2011,2016,0,0,1,0,0,0,0,0
Chris Hairston,Clemson,2011,122,4,22,0,0,2,17,74,31,174,21,18,6.6,326,5.38,29,33,96,7.9,4.7,7,0,0,0,0,1,T,8,BUF,2011,2017,0,0,0,1,0,0,0,0
Chris Rucker,Michigan St.,2011,188,6,22,0,0,0,2,15,4,66,22,2,6.1,195,4.54,NA,10,NA,NA,NA,1,0,1,0,0,0,DB,12,IND,2011,2011,0,0,0,0,0,0,1,0
Chris White,Mississippi St.,2011,169,6,22,0,0,0,3,51,0,17,22,3,6.3,240,4.65,34,17,115,6.95,4.25,4,1,0,0,0,0,LB,11,BUF,2011,2014,0,0,0,0,0,1,0,0
Christian Ponder,Florida St.,2011,12,1,23,0,0,3,22,38,36,82,23,23,6.2,229,4.63,34,NA,116,6.85,4.09,4,0,0,0,0,1,QB,1,MIN,2011,2014,0,1,0,0,0,0,0,0
Cliff Matthews,South Carolina,2011,230,7,22,0,0,0,3,35,0,113,21,3,6.3,257,4.81,32,17,112,7.21,4.37,5,1,0,0,0,0,DE,10,ATL,2012,2016,0,0,0,0,1,0,0,0
Clyde Gates,Abilene Christian,2011,111,4,25,0,0,0,3,32,4,184,24,3,6.1,192,4.31,40,16,131,NA,NA,3,0,0,0,0,0,WR,3,MIA,2011,2013,0,0,1,0,0,0,0,0
Colin Kaepernick,Nevada,2011,36,2,23,0,0,4,45,69,58,137,23,49,6.5,233,4.53,32.5,NA,115,6.85,4.18,6,0,0,0,0,0,QB,1,SFO,2011,2016,0,1,0,0,0,0,0,0
Colin McCarthy,Miami (FL),2011,109,4,22,0,0,1,11,36,19,111,21,11,6.1,238,4.59,36.5,23,119,6.93,4.2,3,0,0,0,0,1,LB,11,TEN,2011,2013,0,0,0,0,0,1,0,0
Corey Liuget,Illinois,2011,18,1,21,0,0,7,42,124,104,123,20,50,6.2,298,4.97,27.5,27,102,7.48,4.68,10,0,1,0,0,0,DT,9,SDG,2011,2020,0,0,0,0,1,0,0,0
Curtis Marsh,Utah St.,2011,90,3,23,0,0,0,1,26,0,115,23,1,6.1,197,4.42,37.5,12,123,6.87,4.07,3,0,0,0,0,0,DB,12,PHI,2011,2013,0,0,0,0,0,0,1,0
D.J. Smith,Appalachian St.,2011,186,6,22,0,0,0,5,24,9,42,22,5,5.11,239,4.71,31,20,104,7.35,4.45,4,0,0,0,0,0,LB,11,GNB,2011,2014,0,0,0,0,0,1,0,0
D.J. Williams,Arkansas,2011,141,5,22,0,0,0,4,35,3,12,22,4,6.2,245,4.59,33.5,20,111,7.29,4.51,3,1,0,0,0,0,TE,4,GNB,2011,2013,0,0,1,0,0,0,0,0
Daniel Kilgore,Appalachian St.,2011,163,5,23,0,0,3,26,98,60,131,23,29,6.3,308,5.28,32.5,23,105,7.59,4.68,10,0,0,0,0,0,G,7,SFO,2011,2020,0,0,0,1,0,0,0,0
Daniel Thomas,Kansas St.,2011,62,2,23,0,0,0,11,52,3,30,23,12,6.1,230,4.62,NA,21,NA,NA,NA,4,0,0,1,0,0,RB,2,MIA,2011,2014,0,0,1,0,0,0,0,0
Danny Watkins,Baylor,2011,23,1,26,0,0,1,9,24,18,20,26,9,6.3,310,5.36,26,29,92,7.61,4.62,3,0,0,1,0,0,G,7,PHI,2011,2013,0,0,0,1,0,0,0,0
Da'Norris Searcy,North Carolina,2011,100,4,22,0,0,3,24,109,58,53,22,27,5.11,223,4.55,33,27,120,6.87,4.09,8,0,0,0,0,1,DB,12,BUF,2011,2018,0,0,0,0,0,0,1,0
Da'Rel Scott,Maryland,2011,221,7,23,0,0,0,1,20,1,54,22,1,5.11,211,4.4,34,19,117,7.15,4.2,3,0,1,0,0,0,RB,2,NYG,2011,2013,0,0,1,0,0,0,0,0
D'Aundre Reed,Arizona,2011,215,7,23,0,0,0,0,6,0,75,23,0,6.4,261,4.84,35.5,30,119,7.24,4.32,1,0,0,0,1,0,DE,10,MIN,2012,2012,0,0,0,0,1,0,0,0
DeJon Gomes,Nebraska,2011,146,5,21,0,0,0,5,46,8,181,21,5,5.11,208,4.5,31,13,110,NA,NA,3,0,1,0,0,0,DB,12,WAS,2011,2013,0,0,0,0,0,0,1,0
DeMarco Murray,Oklahoma,2011,71,3,23,1,3,7,60,99,86,98,23,68,6.1,213,4.37,34.5,21,124,7.28,4.18,7,0,0,1,0,0,RB,2,DAL,2011,2017,0,0,1,0,0,0,0,0
Denarius Moore,Tennessee,2011,148,5,22,0,0,3,15,57,37,102,22,16,6.1,194,4.43,36,13,118,6.78,4.15,5,1,0,0,0,0,WR,3,OAK,2011,2015,0,0,1,0,0,0,0,0
Derek Newton,Arkansas St.,2011,214,7,23,0,0,4,28,83,68,93,23,30,6.5,311,5,25.5,24,100,7.76,5,8,0,0,0,0,0,T,8,HOU,2011,2018,0,0,0,1,0,0,0,0
Derek Sherrod,Mississippi St.,2011,32,1,22,0,0,0,3,20,1,49,21,3,6.5,321,5.18,28,23,97,7.43,4.63,4,1,0,0,0,0,T,8,GNB,2011,2014,0,0,0,1,0,0,0,0
Dion Lewis,Pittsburgh,2011,149,5,20,0,0,2,31,102,27,125,20,34,5.7,193,4.56,34.5,17,112,6.9,4.18,10,0,0,0,0,1,RB,2,PHI,2011,2020,0,0,1,0,0,0,0,0
Dontay Moch,Nevada,2011,66,3,23,0,0,0,0,8,0,105,22,0,6.1,248,4.4,42,21,128,7.09,4.38,3,0,0,0,0,0,LB,11,CIN,2012,2014,0,0,0,0,0,1,0,0
Doug Hogue,Syracuse,2011,157,5,22,0,0,0,2,27,0,159,22,2,6.2,235,4.62,36,18,121,7.09,4.57,2,0,0,0,0,1,LB,11,DET,2011,2012,0,0,0,0,0,1,0,0
Drake Nevis,LSU,2011,87,3,22,0,0,0,4,26,3,96,21,4,6.1,294,5.06,30.5,31,112,7.71,4.65,3,1,0,0,0,0,DT,9,IND,2011,2013,0,0,0,0,1,0,0,0
Dwayne Harris,East Carolina,2011,176,6,23,0,1,0,12,109,11,170,23,13,5.1,203,4.53,34,10,111,6.77,4.21,10,0,0,0,0,0,WR,3,DAL,2011,2020,0,0,1,0,0,0,0,0
Evan Royster,Penn St.,2011,177,6,23,0,0,0,4,32,2,67,23,4,6.1,212,4.65,34,20,113,7.07,4.18,3,0,1,0,0,0,RB,2,WAS,2011,2013,0,0,1,0,0,0,0,0
Greg Jones,Michigan St.,2011,185,6,22,0,0,0,3,22,5,141,22,3,6.1,242,4.75,31.5,21,117,7.27,4.27,2,0,1,0,0,0,LB,11,NYG,2011,2012,1,0,0,0,0,1,0,0
Greg Little,North Carolina,2011,59,2,22,0,0,3,12,54,42,124,21,13,6.2,231,4.51,40.5,27,129,6.8,4.21,4,0,0,0,0,1,WR,3,CLE,2011,2014,0,0,1,0,0,0,0,0
Greg McElroy,Alabama,2011,208,7,23,0,0,0,1,2,1,109,22,1,6.2,220,4.84,33,NA,107,7.11,4.45,1,1,0,0,0,0,QB,1,NYJ,2012,2012,0,1,0,0,0,0,0,0
Greg Salas,Hawaii,2011,112,4,23,0,0,0,4,29,3,62,22,4,6.1,210,4.53,37,15,120,6.65,4.1,6,0,0,0,0,0,WR,3,STL,2011,2016,0,0,1,0,0,0,0,0
J.J. Watt,Wisconsin,2011,11,1,22,5,5,9,107,135,135,19,21,125,6.5,290,4.81,37,34,120,6.88,4.21,11,0,1,0,0,0,DE,10,HOU,2011,2021,0,0,0,0,1,0,0,0
J.T. Thomas,West Virginia,2011,195,6,23,0,0,2,12,62,23,29,22,13,6.1,241,4.65,30.5,23,114,7.23,4.28,6,0,0,1,0,0,LB,11,CHI,2012,2017,0,0,0,0,0,1,0,0
Jabaal Sheard,Pittsburgh,2011,37,2,22,0,0,7,47,145,106,52,21,56,6.3,264,4.68,31,NA,115,NA,NA,11,0,0,0,0,1,DE,10,CLE,2011,2021,0,0,0,0,1,0,0,0
Jacquizz Rodgers,Oregon St.,2011,145,5,21,0,0,0,24,110,14,70,21,27,5.6,196,4.59,33,NA,113,7.31,4.26,8,0,0,0,1,0,RB,2,ATL,2011,2018,0,0,1,0,0,0,0,0
Jah Reid,Central Florida,2011,85,3,23,0,0,2,10,61,18,74,22,11,6.7,327,5.32,29.5,28,111,7.73,4.65,6,0,0,0,0,0,T,8,BAL,2011,2016,0,0,0,1,0,0,0,0
Jaiquawn Jarrett,Temple,2011,54,2,21,0,0,0,5,47,9,146,21,5,6.1,198,4.62,30,14,113,6.95,4.14,5,0,0,0,0,0,DB,12,PHI,2011,2015,0,0,0,0,0,0,1,0
Jake Locker,Washington,2011,8,1,23,0,0,1,15,30,23,121,22,16,6.2,231,4.51,35,NA,120,6.77,4.12,4,0,0,0,1,0,QB,1,TEN,2011,2014,0,1,0,0,0,0,0,0
Jarvis Jenkins,Clemson,2011,41,2,23,0,0,3,23,98,50,144,22,25,6.4,310,5.03,26.5,17,98,7.42,4.83,7,0,0,0,0,1,DT,9,WAS,2012,2018,0,0,0,0,1,0,0,0
Jason Kelce,Cincinnati,2011,191,6,23,4,5,10,86,159,159,136,23,105,6.3,280,4.89,30.5,NA,110,7.22,4.14,11,0,0,0,0,0,C,6,PHI,2011,2021,0,0,0,1,0,0,0,0
Jason Pinkston,Pittsburgh,2011,150,5,24,0,0,1,10,25,24,83,23,10,6.3,317,5.39,26.5,NA,98,7.88,4.91,3,0,0,0,0,1,T,8,CLE,2011,2013,0,0,0,1,0,0,0,0
Jeremy Kerley,TCU,2011,153,5,22,0,0,4,23,99,40,133,22,26,5.9,189,4.56,34.5,16,120,NA,NA,8,0,0,1,0,0,WR,3,NYJ,2011,2018,0,0,1,0,0,0,0,0
Jermale Hines,Ohio St.,2011,158,5,23,0,0,0,0,10,0,161,23,0,6.1,219,4.59,31,19,NA,6.9,4.21,1,0,1,0,0,0,DB,12,STL,2011,2011,0,0,0,0,0,0,1,0
Jerrel Jernigan,Troy,2011,83,3,22,0,0,0,2,34,4,143,21,2,5.9,185,4.46,37.5,11,124,7.07,4.25,4,0,0,0,0,0,WR,3,NYG,2011,2014,0,0,1,0,0,0,0,0
Jimmy Smith,Colorado,2011,27,1,23,0,0,5,33,128,90,41,22,40,6.2,211,4.42,36,24,123,6.93,4.06,11,0,0,0,1,0,DB,12,BAL,2011,2021,0,0,0,0,0,0,1,0
John Moffitt,Wisconsin,2011,75,3,24,0,0,1,6,19,15,104,24,6,6.4,319,5.51,30.5,23,102,7.79,4.53,3,0,1,0,0,0,G,7,SEA,2011,2013,0,0,0,1,0,0,0,0
Johnny Patrick,Louisville,2011,88,3,23,0,0,0,4,37,5,90,22,4,5.11,191,4.59,32,13,110,NA,4.16,3,0,0,0,0,1,DB,12,NOR,2011,2013,0,0,0,0,0,0,1,0
Johnny White,North Carolina,2011,133,5,23,0,0,0,0,19,0,16,23,0,5.1,209,4.5,32.5,NA,117,7.07,4.31,2,0,0,0,0,1,RB,2,BUF,2011,2012,0,0,1,0,0,0,0,0
Jonas Mouton,Michigan,2011,61,2,23,0,0,0,0,3,0,99,22,0,6.1,239,4.84,31.5,NA,115,7.08,4.34,1,0,1,0,0,0,LB,11,SDG,2012,2012,0,0,0,0,0,1,0,0
Jordan Todman,Connecticut,2011,183,6,21,0,0,0,5,75,3,25,21,5,5.9,203,4.4,38,25,126,7.24,4.18,7,0,0,0,0,0,RB,2,SDG,2011,2017,0,0,1,0,0,0,0,0
Josh Thomas,Buffalo,2011,143,5,22,0,0,0,7,52,10,28,21,7,5.1,191,4.46,38.5,13,126,6.99,4.15,5,0,0,0,0,0,DB,12,DAL,2011,2015,0,0,0,0,0,0,1,0
Julian Vandervelde,Iowa,2011,161,5,23,0,0,0,1,18,0,22,23,1,6.2,301,5.12,31,23,104,7.46,4.59,5,0,1,0,0,0,G,7,PHI,2011,2015,0,0,0,1,0,0,0,0
Julio Jones,Alabama,2011,6,1,22,2,7,9,99,145,144,140,22,123,6.3,220,4.34,38.5,17,135,6.66,4.25,11,1,0,0,0,0,WR,3,ATL,2011,2021,0,0,1,0,0,0,0,0
Julius Thomas,Portland St.,2011,129,4,23,0,2,5,21,71,53,27,22,22,6.5,246,4.64,35.5,16,111,6.96,4.31,7,0,0,0,0,0,TE,4,DEN,2011,2017,0,0,1,0,0,0,0,0
Justin Houston,Georgia,2011,70,3,22,1,4,10,72,149,143,156,22,89,6.3,270,4.62,36.5,30,125,6.95,4.37,11,1,0,0,0,0,LB,11,KAN,2011,2021,0,0,0,0,0,1,0,0
Justin Rogers,Richmond,2011,206,7,23,0,0,0,4,43,8,69,23,4,5.1,180,4.45,33,14,114,7.21,4.2,5,0,0,0,0,0,DB,12,BUF,2011,2015,0,0,0,0,0,0,1,0
K.J. Wright,Mississippi St.,2011,99,4,22,0,1,10,64,161,148,5,21,80,6.3,246,4.71,32,20,120,7.26,4.46,11,1,0,0,0,0,LB,11,SEA,2011,2021,0,0,0,0,0,1,0,0
Karl Klug,Iowa,2011,142,5,23,0,0,0,13,109,8,129,22,15,6.3,275,4.85,NA,22,NA,NA,NA,7,0,1,0,0,0,DT,9,TEN,2011,2017,0,0,0,0,1,0,0,0
Kealoha Pilares,Hawaii,2011,132,5,23,0,0,0,1,20,0,84,23,1,5.1,199,4.42,NA,19,NA,NA,NA,2,0,0,0,0,0,WR,3,CAR,2011,2012,0,0,1,0,0,0,0,0
Keith Williams,Nebraska,2011,196,6,23,0,0,0,0,2,0,10,22,0,6.4,318,5.28,24.5,23,93,8.42,5.03,1,0,1,0,0,0,G,7,PIT,2012,2012,0,0,0,1,0,0,0,0
Kelvin Sheppard,LSU,2011,68,3,23,0,0,4,25,107,63,51,23,29,6.2,250,4.7,33.5,22,110,NA,4.28,8,1,0,0,0,0,LB,11,BUF,2011,2018,0,0,0,0,0,1,0,0
Kendall Hunter,Oklahoma St.,2011,115,4,22,0,0,0,12,45,1,152,22,12,5.7,199,4.46,35,24,122,6.74,4.21,5,0,0,1,0,0,RB,2,SFO,2011,2015,1,0,1,0,0,0,0,0
Kenrick Ellis,Hampton,2011,94,3,23,0,0,0,10,56,5,193,23,11,6.5,346,5.19,NA,26,NA,NA,NA,5,0,0,0,0,0,DT,9,NYJ,2011,2015,0,0,0,0,1,0,0,0
Kyle Rudolph,Notre Dame,2011,43,2,21,0,2,10,36,156,145,65,21,44,6.6,259,4.83,NA,NA,NA,NA,NA,11,0,0,0,0,0,TE,4,MIN,2011,2021,0,0,1,0,0,0,0,0
Lance Kendricks,Wisconsin,2011,47,2,23,0,0,6,16,137,92,135,23,18,6.3,243,4.65,34.5,25,122,6.94,4.15,9,0,1,0,0,0,TE,4,STL,2011,2019,1,0,1,0,0,0,0,0
Lawrence Guy,Arizona St.,2011,233,7,21,0,0,6,54,146,96,176,20,62,6.4,305,4.96,29,28,NA,7.6,4.43,10,0,0,0,1,0,DT,9,GNB,2012,2021,0,0,0,0,1,0,0,0
Lee Smith,Marshall,2011,159,5,23,0,0,4,5,149,79,39,23,5,6.6,266,4.94,29,25,108,7.13,4.28,11,0,0,0,0,0,TE,4,NWE,2011,2021,0,0,1,0,0,0,0,0
Leonard Hankerson,Miami (FL),2011,79,3,23,0,0,1,12,41,14,173,22,12,6.1,209,4.4,36,14,117,6.94,4.21,5,0,0,0,0,1,WR,3,WAS,2011,2015,0,0,1,0,0,0,0,0
Luke Stocker,Tennessee,2011,104,4,23,0,0,7,5,142,91,34,22,5,6.5,258,4.68,33,27,115,7.03,4.4,11,1,0,0,0,0,TE,4,TAM,2011,2021,0,0,1,0,0,0,0,0
Marcus Gilbert,Florida,2011,63,2,23,0,0,5,36,88,87,183,23,41,6.6,330,5.41,NA,30,NA,NA,NA,8,1,0,0,0,0,T,8,PIT,2011,2018,0,0,0,1,0,0,0,0
Marcus Gilchrist,Clemson,2011,50,2,22,0,0,6,33,128,98,182,22,38,5.1,195,4.45,38.5,26,119,6.81,4.12,10,0,0,0,0,1,DB,12,SDG,2011,2020,0,0,0,0,0,0,1,0
Mark Ingram,Alabama,2011,28,1,21,0,3,5,62,146,97,148,21,74,5.9,215,4.62,31.5,21,118,7.13,4.62,11,1,0,0,0,0,RB,2,NOR,2011,2021,1,0,1,0,0,0,0,0
Markus White,Florida St.,2011,224,7,23,0,0,0,0,5,0,15,23,0,6.3,266,4.86,32.5,14,117,7.25,4.51,2,0,0,0,0,1,DE,10,WAS,2011,2012,0,0,0,0,1,0,0,0
Martez Wilson,Illinois,2011,72,3,22,0,0,0,2,38,1,7,22,2,6.4,250,4.42,36,23,124,7.04,4.28,3,0,1,0,0,0,LB,11,NOR,2011,2013,0,0,0,0,0,1,0,0
Mason Foster,Washington,2011,84,3,22,0,0,6,40,107,92,189,22,46,6.1,245,4.75,31,22,110,7.14,4.45,8,0,0,0,1,0,LB,11,TAM,2011,2018,0,0,0,0,0,1,0,0
Maurice Hurt,Florida,2011,217,7,23,0,0,1,6,21,9,151,23,6,6.3,318,5.39,NA,18,NA,NA,NA,2,1,0,0,0,0,G,7,WAS,2011,2012,0,0,0,1,0,0,0,0
Mike Mohamed,California,2011,189,6,23,0,0,0,4,26,2,103,22,4,6.3,239,4.65,32,21,115,6.7,4,5,0,0,0,1,0,LB,11,DEN,2011,2015,0,0,0,0,0,1,0,0
Mike Pouncey,Florida,2011,15,1,22,0,4,7,52,114,114,81,21,61,6.5,303,5.12,25,NA,96,7.66,4.64,9,1,0,0,0,0,G,7,MIA,2011,2019,0,0,0,1,0,0,0,0
Mikel Leshoure,Illinois,2011,57,2,21,0,0,1,5,17,14,126,20,5,6.1,227,4.56,38,21,122,6.82,4.4,2,0,1,0,0,0,RB,2,DET,2012,2013,0,0,1,0,0,0,0,0
Muhammad Wilkerson,Temple,2011,30,1,21,0,1,7,58,108,104,14,21,66,6.4,315,4.96,26,27,106,7.31,4.59,8,0,0,0,0,0,DT,9,NYJ,2011,2018,0,0,0,0,1,0,0,0
Nate Irving,North Carolina St.,2011,67,3,23,0,0,1,9,62,14,147,22,10,6.1,240,4.74,NA,NA,NA,NA,NA,5,0,0,0,0,0,LB,11,DEN,2011,2015,0,0,0,0,0,1,0,0
Nate Solder,Colorado,2011,17,1,23,0,0,9,64,146,143,35,22,79,6.8,319,4.96,32,21,110,7.44,4.34,11,0,0,0,1,0,T,8,NWE,2011,2021,1,0,0,1,0,0,0,0
Nick Fairley,Auburn,2011,13,1,23,0,0,4,23,77,46,191,23,25,6.4,291,4.84,31,NA,113,7.14,4.56,6,1,0,0,0,0,DT,9,DET,2011,2016,1,0,0,0,1,0,0,0
Niles Paul,Nebraska,2011,155,5,22,0,0,1,7,88,27,89,21,7,6.1,224,4.45,34.5,24,117,6.9,4.14,8,0,1,0,0,0,WR,3,WAS,2011,2018,0,0,1,0,0,0,0,0
Orlando Franklin,Miami (FL),2011,46,2,23,0,0,6,42,90,89,188,23,47,6.5,316,5.11,28.5,26,NA,NA,NA,7,0,0,0,0,1,T,8,DEN,2011,2017,0,0,0,1,0,0,0,0
Owen Marecic,Stanford,2011,124,4,22,0,0,0,0,24,6,116,22,0,6.1,248,4.87,28.5,22,102,7.1,4.56,2,0,0,0,1,0,RB,2,CLE,2011,2012,0,0,1,0,0,0,0,0
Patrick Peterson,LSU,2011,5,1,21,3,8,11,98,167,167,87,20,119,6.1,219,4.31,38,15,126,6.58,4.07,11,1,0,0,0,0,DB,12,ARI,2011,2021,1,0,0,0,0,0,1,0
Phil Taylor,Baylor,2011,21,1,23,0,0,2,19,44,42,33,22,20,6.3,334,5.09,29.5,31,100,7.75,4.77,4,0,0,1,0,0,DT,9,CLE,2011,2014,0,0,0,0,1,0,0,0
Rahim Moore,UCLA,2011,45,2,21,0,0,3,20,64,54,101,21,22,6.1,202,4.58,35,11,115,6.98,3.96,5,0,0,0,1,0,DB,12,DEN,2011,2015,0,0,0,0,0,0,1,0
Ras-I Dowling,Virginia,2011,33,2,23,0,0,0,1,12,2,195,22,1,6.1,198,4.4,NA,19,NA,NA,NA,4,0,0,0,0,1,DB,12,NWE,2011,2014,0,0,0,0,0,0,1,0
Richard Sherman,Stanford,2011,154,5,23,3,5,9,97,144,136,48,22,114,6.3,195,4.54,38,16,125,6.82,4.33,11,0,0,0,1,0,DB,12,SEA,2011,2021,0,0,0,0,0,0,1,0
Rob Housler,Florida Atlantic,2011,69,3,23,0,0,3,9,65,28,155,22,9,6.5,248,4.46,37,22,117,6.9,4.21,5,0,0,0,0,0,TE,4,ARI,2011,2015,0,0,1,0,0,0,0,0
Robert Quinn,North Carolina,2011,14,1,21,1,3,9,68,156,135,78,20,82,6.4,265,4.62,34,22,116,7.13,4.4,11,0,0,0,0,1,DE,10,STL,2011,2021,0,0,0,0,1,0,0,0
Robert Sands,West Virginia,2011,134,5,21,0,0,0,0,1,0,60,21,0,6.4,217,4.53,35,12,124,7.03,4.06,1,0,0,1,0,0,DB,12,CIN,2011,2011,0,0,0,0,0,0,1,0
Rodney Hudson,Florida St.,2011,55,2,22,0,3,9,60,155,139,154,21,73,6.2,299,5.27,25.5,27,95,8.03,4.96,11,0,0,0,0,1,C,6,KAN,2011,2021,1,0,0,1,0,0,0,0
